iter	Logloss
0	0.6895685599
1	0.6869378189
2	0.6840971953
3	0.6814696429
4	0.6778513796
5	0.6745585936
6	0.6711709278
7	0.6679085533
8	0.6651083974
9	0.6619374076
10	0.6591870684
11	0.6564724862
12	0.6535194621
13	0.6506960859
14	0.6482092213
15	0.6449853548
16	0.6420434956
17	0.6404921434
18	0.6374080292
19	0.6348386025
20	0.6320021469
21	0.6295787514
22	0.6265583773
23	0.6238727846
24	0.6213433242
25	0.6195396613
26	0.6171648982
27	0.6146735601
28	0.6124365385
29	0.6101955593
30	0.6082219284
31	0.6064873068
32	0.6038319789
33	0.6015488555
34	0.5992717258
35	0.5975127369
36	0.5949935365
37	0.5926162111
38	0.5907692537
39	0.5891726843
40	0.5869846463
41	0.5847314849
42	0.5816654738
43	0.5793777261
44	0.5775167632
45	0.5750726575
46	0.5725890376
47	0.5704656161
48	0.5684889947
49	0.5663087256
50	0.5640179265
51	0.5618275153
52	0.5593696078
53	0.5576075532
54	0.5560392976
55	0.553911831
56	0.5514840378
57	0.5494387637
58	0.5470768472
59	0.5444324895
60	0.5422999149
61	0.5408673788
62	0.5394067869
63	0.5372075008
64	0.5350889177
65	0.532970376
66	0.530821008
67	0.52894105
68	0.526916606
69	0.5253689822
70	0.5234452107
71	0.522212695
72	0.5205281139
73	0.5190780295
74	0.5169085791
75	0.515254491
76	0.5134771087
77	0.5116991775
78	0.5096521975
79	0.5071113637
80	0.5055116668
81	0.50384213
82	0.5019944751
83	0.5006350372
84	0.4991781931
85	0.4973035628
86	0.4949914583
87	0.4934201376
88	0.491624345
89	0.4899623426
90	0.4885228106
91	0.4869181584
92	0.4851406336
93	0.4834232695
94	0.4821682177
95	0.4804357176
96	0.4788955313
97	0.4776297856
98	0.4760562074
99	0.4747518033
100	0.4732845181
101	0.471857113
102	0.4704741914
103	0.4692614154
104	0.4673233912
105	0.4663358545
106	0.4652221193
107	0.4640472799
108	0.4628104779
109	0.4614263492
110	0.4598759371
111	0.4582595228
112	0.4567676412
113	0.4553494499
114	0.4544730713
115	0.4529403049
116	0.4510676657
117	0.4494239982
118	0.4481612363
119	0.4470407574
120	0.4459134833
121	0.4450104992
122	0.4436392536
123	0.4426669122
124	0.4410328137
125	0.4401639585
126	0.4390493156
127	0.4379904842
128	0.4369918504
129	0.4361507527
130	0.4351567674
131	0.4340028641
132	0.4330177543
133	0.4322598847
134	0.4309047064
135	0.4296933779
136	0.4287114401
137	0.4275383827
138	0.4271005875
139	0.4260420297
140	0.4248918586
141	0.423686348
142	0.4223589784
143	0.4219536845
144	0.4210253164
145	0.4199012693
146	0.418946298
147	0.4178548318
148	0.4165406271
149	0.4153683165
150	0.4144610512
151	0.413744951
152	0.4128894476
153	0.4118881127
154	0.4104550589
155	0.4094058249
156	0.408766239
157	0.4076934369
158	0.4058884198
159	0.4046154802
160	0.4033323782
161	0.4023124346
162	0.4013108838
163	0.4003913814
164	0.3995398417
165	0.3988858901
166	0.3979324073
167	0.3969228353
168	0.3957905658
169	0.3949769084
170	0.3942267018
171	0.3932776821
172	0.3922612027
173	0.3915689388
174	0.390738796
175	0.3898683539
176	0.3891009483
177	0.3879461326
178	0.3870814352
179	0.3858520414
180	0.3850721982
181	0.3845280259
182	0.3837300723
183	0.3827381349
184	0.3821229048
185	0.3814000999
186	0.3806041548
187	0.3801150477
188	0.3789158116
189	0.3778539198
190	0.3772018472
191	0.3764048069
192	0.3754872431
193	0.3747072924
194	0.3737704517
195	0.3733405902
196	0.3719905777
197	0.3711765489
198	0.3703062668
199	0.3696356198
200	0.3683720303
201	0.3675312284
202	0.3666830172
203	0.3659163123
204	0.3653704766
205	0.3645905331
206	0.3637741603
207	0.362937723
208	0.3622248042
209	0.3616811919
210	0.36097488
211	0.359964227
212	0.3592585439
213	0.3583211767
214	0.3574428091
215	0.3568441117
216	0.3561494372
217	0.3554571229
218	0.3548627288
219	0.3543766156
220	0.3536626342
221	0.3528523238
222	0.3520004627
223	0.3514420268
224	0.3510189857
225	0.3503212192
226	0.3494661808
227	0.3486619614
228	0.3481143525
229	0.3474150486
230	0.3466317281
231	0.3457421077
232	0.345340854
233	0.3449557331
234	0.3444440524
235	0.343988716
236	0.343041812
237	0.3423270114
238	0.3416903565
239	0.3411095056
240	0.3405185847
241	0.3398513215
242	0.3391064953
243	0.3385893499
244	0.3378418537
245	0.3371954195
246	0.3367768479
247	0.3362558946
248	0.3356401557
249	0.3351171335
250	0.3347759774
251	0.3341141921
252	0.3335214546
253	0.3327715849
254	0.3322483901
255	0.3316186313
256	0.3311307977
257	0.3305064778
258	0.3301250031
259	0.32940395
260	0.3290678212
261	0.328310059
262	0.3277337129
263	0.3271139926
264	0.3266432155
265	0.3261272196
266	0.3254111518
267	0.3246864425
268	0.3243158954
269	0.3235799286
270	0.3229736183
271	0.3223077953
272	0.3216342376
273	0.3210227188
274	0.3203761114
275	0.319632621
276	0.3188784781
277	0.3183947487
278	0.3178861868
279	0.3173327745
280	0.3169665916
281	0.3166861585
282	0.316022126
283	0.3155273374
284	0.3150574148
285	0.3143962185
286	0.3139689563
287	0.313344491
288	0.3124298453
289	0.311880003
290	0.3113365579
291	0.3105642107
292	0.3101687085
293	0.3096165599
294	0.3089760538
295	0.3084094131
296	0.3079022379
297	0.3072292778
298	0.3062808485
299	0.3058537517
300	0.3051997731
301	0.3047966018
302	0.3043554423
303	0.3039862025
304	0.3033820685
305	0.3028585155
306	0.3020461962
307	0.3016807833
308	0.3011839556
309	0.3004400893
310	0.2996815854
311	0.2993139858
312	0.2989033657
313	0.2987918951
314	0.2982827157
315	0.2976950936
316	0.2973150201
317	0.2970078238
318	0.2965655221
319	0.2959857037
320	0.2953702257
321	0.2949843347
322	0.2946120625
323	0.2942400882
324	0.2937419653
325	0.2934193243
326	0.2928484393
327	0.2920831926
328	0.2916291719
329	0.2913437192
330	0.2908169
331	0.2903362239
332	0.2897520555
333	0.2891565244
334	0.2887041834
335	0.2882697483
336	0.2877752934
337	0.2873934247
338	0.2871135117
339	0.2864328556
340	0.2861679643
341	0.2857864007
342	0.2853141226
343	0.2845250852
344	0.2841351865
345	0.283899196
346	0.2833493408
347	0.2830152231
348	0.282626207
349	0.2819367005
350	0.2815246137
351	0.2811698514
352	0.2807327588
353	0.280523175
354	0.2800254815
355	0.2794122613
356	0.2789218373
357	0.2783383742
358	0.2779104766
359	0.2774255353
360	0.2769890002
361	0.2766115066
362	0.2762330254
363	0.2759213357
364	0.2755874272
365	0.2752762372
366	0.2749435644
367	0.2742431953
368	0.2739516437
369	0.2736639656
370	0.2732951827
371	0.272816386
372	0.2724388219
373	0.2718417194
374	0.2714031309
375	0.2709025182
376	0.27027076
377	0.2697481318
378	0.2692962221
379	0.268973826
380	0.2687022064
381	0.2680529424
382	0.2676554567
383	0.2671608674
384	0.2669829063
385	0.266435793
386	0.2662022549
387	0.2658432388
388	0.2654905171
389	0.2651536341
390	0.2647860062
391	0.2643197597
392	0.26402283
393	0.2638925531
394	0.2635721
395	0.2631571278
396	0.2628592243
397	0.2624234065
398	0.2621403451
399	0.2618937702
400	0.2614891112
401	0.2612472273
402	0.2610103128
403	0.260641579
404	0.2603026763
405	0.2599236035
406	0.2595751511
407	0.2591406382
408	0.258942295
409	0.2588835232
410	0.2584757855
411	0.2581990621
412	0.2577273049
413	0.2572501803
414	0.2568610636
415	0.2564608812
416	0.2562513708
417	0.2558419305
418	0.255588326
419	0.2552627967
420	0.2548061134
421	0.2543885812
422	0.2541118903
423	0.2536621564
424	0.253001633
425	0.2526408976
426	0.2523459108
427	0.2520628793
428	0.2518275128
429	0.2512917069
430	0.2508996325
431	0.250514141
432	0.2502164155
433	0.2497611638
434	0.2495319651
435	0.2489634951
436	0.248749745
437	0.2484946453
438	0.2480429028
439	0.2476741507
440	0.2472913692
441	0.2468498164
442	0.2468316589
443	0.2463950032
444	0.2459432042
445	0.2456269058
446	0.2452927166
447	0.2449600363
448	0.2448256415
449	0.2445388332
450	0.2442895395
451	0.2439968989
452	0.2436835036
453	0.243436607
454	0.2431016147
455	0.2428126991
456	0.242425616
457	0.2418244666
458	0.2416283666
459	0.2413480416
460	0.2410413764
461	0.2407393184
462	0.2404492487
463	0.2400750008
464	0.2397017357
465	0.2393677025
466	0.2389747527
467	0.2386718333
468	0.2384774545
469	0.2380756342
470	0.237822348
471	0.2374974822
472	0.2372353856
473	0.2370350364
474	0.2367899762
475	0.2364674411
476	0.2361960268
477	0.2358584801
478	0.2356623875
479	0.2351872745
480	0.2347836064
481	0.2346036836
482	0.2343538472
483	0.2341178036
484	0.2338886826
485	0.2334982423
486	0.2332524127
487	0.2328684599
488	0.2324126077
489	0.2321714901
490	0.2319346384
491	0.2316080443
492	0.2311585175
493	0.230772686
494	0.23045111
495	0.2301924876
496	0.229913061
497	0.2298095488
498	0.229560805
499	0.2291753375
500	0.2287633003
501	0.2285077443
502	0.2282831199
503	0.2279800377
504	0.2278175059
505	0.227556299
506	0.2273298379
507	0.2269810182
508	0.2266924459
509	0.2264128065
510	0.226024481
511	0.2256435012
512	0.2255063902
513	0.2251651146
514	0.2248575704
515	0.2245847123
516	0.2243829192
517	0.2239970148
518	0.223736272
519	0.2234788691
520	0.2232924133
521	0.2231343303
522	0.2228068783
523	0.2224647632
524	0.2220950502
525	0.2218248171
526	0.2215730277
527	0.2213256707
528	0.221052954
529	0.220692686
530	0.2204266505
531	0.2202141068
532	0.2197520481
533	0.2195259001
534	0.2193027222
535	0.2190668811
536	0.2188317791
537	0.2184685376
538	0.2182099349
539	0.2179429355
540	0.2176886097
541	0.2174111938
542	0.2170262743
543	0.2168369453
544	0.216583292
545	0.2161788907
546	0.2159258372
547	0.2156600022
548	0.2153367944
549	0.2151547218
550	0.2148765482
551	0.2146972542
552	0.2142936521
553	0.2142127586
554	0.2139540996
555	0.2136129292
556	0.213354584
557	0.2131213092
558	0.2129154157
559	0.212686392
560	0.2123023147
561	0.2121964559
562	0.2119201586
563	0.2117614421
564	0.2115454088
565	0.2113014569
566	0.2110561299
567	0.2108576864
568	0.2105446849
569	0.2101824603
570	0.2099838104
571	0.2097899577
572	0.2094417996
573	0.2091900986
574	0.2089135415
575	0.2086367754
576	0.2082170538
