iter	Passed	Remaining
0	3	3086
1	5	2736
2	8	2688
3	11	2787
4	13	2775
5	16	2703
6	18	2614
7	20	2578
8	22	2521
9	26	2582
10	29	2655
11	32	2707
12	35	2679
13	37	2655
14	40	2629
15	43	2674
16	46	2679
17	48	2650
18	50	2625
19	53	2606
20	55	2588
21	59	2631
22	62	2672
23	65	2662
24	67	2640
25	69	2620
26	72	2603
27	76	2644
28	80	2683
29	83	2698
30	86	2707
31	91	2766
32	95	2812
33	99	2817
34	102	2816
35	105	2812
36	108	2821
37	111	2812
38	113	2791
39	115	2769
40	117	2748
41	120	2738
42	123	2749
43	126	2747
44	128	2730
45	130	2713
46	133	2701
47	135	2684
48	138	2679
49	141	2691
50	144	2680
51	146	2667
52	148	2660
53	151	2649
54	153	2641
55	156	2635
56	158	2628
57	161	2617
58	163	2608
59	165	2598
60	168	2588
61	171	2588
62	173	2585
63	176	2577
64	178	2568
65	180	2558
66	183	2549
67	185	2540
68	188	2541
69	191	2540
70	193	2531
71	195	2523
72	198	2514
73	200	2507
74	203	2510
75	206	2515
76	209	2510
77	211	2502
78	214	2494
79	216	2491
80	220	2497
81	223	2500
82	226	2502
83	229	2497
84	232	2500
85	235	2498
86	237	2495
87	240	2491
88	242	2484
89	244	2476
90	247	2471
91	249	2466
92	253	2471
93	255	2467
94	258	2460
95	260	2456
96	263	2449
97	265	2442
98	268	2447
99	271	2446
100	274	2440
101	276	2436
102	279	2430
103	281	2423
104	284	2427
105	287	2427
106	290	2420
107	292	2415
108	294	2409
109	296	2402
110	300	2403
111	304	2410
112	307	2413
113	309	2407
114	311	2400
115	314	2399
116	319	2410
117	322	2407
118	324	2402
119	326	2396
120	329	2390
121	332	2391
122	336	2400
123	339	2395
124	341	2389
125	343	2384
126	346	2379
127	349	2381
128	353	2385
129	355	2379
130	357	2374
131	360	2369
132	362	2364
133	365	2361
134	369	2364
135	371	2359
136	373	2354
137	375	2348
138	376	2334
139	379	2331
140	382	2330
141	385	2327
142	387	2322
143	388	2309
144	390	2303
145	392	2298
146	395	2296
147	398	2294
148	401	2292
149	403	2287
150	405	2282
151	408	2277
152	410	2272
153	413	2273
154	417	2273
155	419	2269
156	421	2264
157	424	2260
158	426	2255
159	429	2254
160	433	2258
161	435	2253
162	437	2248
163	440	2243
164	442	2239
165	445	2238
166	448	2239
167	451	2234
168	453	2230
169	455	2225
170	458	2221
171	461	2220
172	465	2223
173	467	2219
174	469	2215
175	472	2210
176	474	2205
177	477	2203
178	480	2205
179	483	2201
180	485	2196
181	487	2192
182	490	2187
183	492	2184
184	495	2181
185	498	2179
186	500	2175
187	502	2171
188	504	2166
189	507	2162
190	510	2162
191	514	2163
192	516	2160
193	519	2156
194	521	2154
195	524	2150
196	527	2148
197	530	2149
198	533	2145
199	535	2141
200	537	2137
201	539	2133
202	543	2133
203	546	2133
204	549	2129
205	551	2126
206	553	2121
207	556	2117
208	559	2116
209	562	2117
210	565	2114
211	568	2111
212	570	2107
213	572	2103
214	575	2101
215	577	2097
216	580	2093
217	582	2090
218	584	2085
219	587	2081
220	590	2079
221	592	2075
222	594	2071
223	596	2068
224	599	2064
225	602	2061
226	604	2059
227	607	2056
228	610	2056
229	613	2054
230	616	2050
231	618	2047
232	620	2043
233	623	2041
234	625	2037
235	628	2033
236	630	2029
237	632	2025
238	635	2022
239	637	2019
240	640	2016
241	642	2013
242	645	2009
243	647	2005
244	649	2001
245	651	1998
246	654	1994
247	656	1991
248	659	1987
249	661	1983
250	663	1979
251	665	1976
252	668	1972
253	670	1969
254	673	1966
255	675	1962
256	677	1958
257	680	1955
258	682	1952
259	684	1948
260	687	1946
261	689	1943
262	692	1939
263	694	1935
264	696	1931
265	698	1928
266	701	1925
267	703	1922
268	706	1918
269	708	1915
270	710	1911
271	712	1907
272	715	1904
273	717	1900
274	719	1897
275	722	1894
276	724	1890
277	726	1887
278	728	1883
279	731	1880
280	733	1876
281	735	1873
282	738	1870
283	740	1866
284	742	1862
285	744	1859
286	747	1856
287	749	1853
288	752	1850
289	754	1846
290	756	1843
291	758	1840
292	761	1836
293	763	1833
294	765	1830
295	768	1828
296	770	1824
297	773	1821
298	775	1817
299	778	1815
300	781	1814
301	783	1811
302	785	1807
303	788	1804
304	790	1801
305	792	1797
306	794	1794
307	797	1790
308	799	1787
309	801	1784
310	804	1781
311	806	1777
312	808	1774
313	809	1768
314	811	1764
315	813	1761
316	816	1758
317	818	1756
318	821	1754
319	824	1751
320	827	1750
321	831	1750
322	834	1748
323	836	1745
324	838	1742
325	841	1739
326	843	1736
327	846	1734
328	849	1733
329	852	1730
330	855	1728
331	857	1725
332	859	1722
333	862	1719
334	865	1717
335	867	1715
336	870	1712
337	872	1709
338	875	1706
339	878	1704
340	881	1704
341	884	1701
342	886	1698
343	889	1696
344	891	1693
345	894	1690
346	896	1687
347	900	1687
348	904	1687
349	908	1687
350	911	1685
351	914	1684
352	917	1681
353	919	1677
354	921	1674
355	925	1674
356	927	1671
357	930	1668
358	932	1665
359	935	1662
360	937	1659
361	939	1656
362	941	1652
363	944	1649
364	946	1646
365	948	1643
366	950	1640
367	953	1637
368	955	1633
369	957	1630
370	960	1627
371	962	1624
372	964	1621
373	966	1618
374	969	1615
375	971	1612
376	973	1608
377	975	1605
378	978	1603
379	981	1601
380	983	1598
381	986	1595
382	988	1592
383	990	1589
384	992	1586
385	995	1583
386	997	1579
387	999	1576
388	1001	1573
389	1005	1572
390	1008	1571
391	1012	1569
392	1015	1568
393	1020	1570
394	1024	1569
395	1029	1570
396	1034	1570
397	1038	1571
398	1043	1571
399	1046	1570
400	1051	1570
401	1054	1569
402	1057	1566
403	1061	1566
404	1064	1564
405	1068	1563
406	1072	1563
407	1075	1561
408	1079	1560
409	1081	1556
410	1084	1553
411	1086	1551
412	1090	1550
413	1093	1548
414	1097	1547
415	1100	1544
416	1103	1543
417	1106	1541
418	1109	1538
419	1112	1535
420	1114	1533
421	1117	1530
422	1120	1528
423	1123	1526
424	1127	1525
425	1131	1524
426	1134	1522
427	1138	1521
428	1142	1521
429	1145	1518
430	1147	1514
431	1149	1511
432	1152	1508
433	1154	1505
434	1157	1503
435	1159	1500
436	1162	1497
437	1164	1494
438	1167	1491
439	1169	1488
440	1172	1485
441	1174	1483
442	1176	1478
443	1180	1478
444	1182	1475
445	1185	1472
446	1187	1469
447	1190	1466
448	1192	1463
449	1195	1460
450	1197	1458
451	1200	1455
452	1202	1452
453	1205	1449
454	1207	1446
455	1210	1443
456	1212	1440
457	1215	1437
458	1217	1434
459	1221	1433
460	1223	1430
461	1226	1427
462	1228	1424
463	1230	1421
464	1235	1421
465	1238	1418
466	1241	1416
467	1244	1414
468	1246	1411
469	1248	1408
470	1251	1405
471	1254	1403
472	1258	1402
473	1261	1399
474	1263	1396
475	1266	1393
476	1269	1391
477	1273	1390
478	1275	1387
479	1278	1384
480	1280	1382
481	1283	1379
482	1286	1377
483	1290	1376
484	1293	1373
485	1295	1370
486	1297	1367
487	1300	1364
488	1304	1362
489	1309	1362
490	1311	1359
491	1314	1356
492	1317	1354
493	1321	1353
494	1324	1351
495	1326	1348
496	1328	1345
497	1331	1341
498	1335	1340
499	1340	1340
500	1342	1337
501	1345	1334
502	1347	1331
503	1351	1330
504	1356	1329
505	1359	1327
506	1361	1324
507	1363	1320
508	1367	1319
