,P3a_Delta_Novel_similarity_spatial,P3a_Delta_Novel_similarity_locationLR,P3a_Delta_Novel_similarity_locationPA,P3a_Delta_Novel_similarity_timing,P3a_Delta_Novel_similarity_amplitude,P3a_Delta_Novel_matchScore,P3a_Delta_Novel_attr_timeMSfromTriger,P3a_Delta_Novel_attr_leftRight,P3a_Delta_Novel_attr_posteriorAnterior,P3a_Delta_Novel_attr_amplitude,P3a_Delta_Novel_attr_logAmp,P3a_Delta_Novel_attr_GFP,P3a_Delta_Novel_attr_logGFP,P3a_Delta_Novel_attr_CenterOfMassTimeMSfromTriger,P3a_Delta_Novel_attr_CenterOfMassLR,P3a_Delta_Novel_attr_CenterOfMassPA,P3a_Delta_Novel_attr_inverseTimeMSfromTriger,P3a_Delta_Novel_attr_tStart_peakChannel_MSfromTriger,P3a_Delta_Novel_attr_tStart_Average_MSfromTriger,P3a_Delta_Novel_attr_interpolatedPeakTime_MS,P3a_Delta_Novel_attr_peakERPv_broudBand,P3a_Delta_Novel_attr_peakERPv,P3a_Delta_Novel_attr_capsuleERPv_broudBand,P3a_Delta_Novel_attr_capsuleERPv,P3a_Delta_Novel_similarity_GFP,P3a_Delta_Novel_similarity_tStart_peakChannel,P3a_Delta_Novel_similarity_tStart_Average,P3a_Delta_Novel_similarity_centerOfMassTime,P3a_Delta_Novel_similarity_inverseTime,P3a_Delta_Novel_similarity_logAmp,P3a_Delta_Novel_similarity_logGFP,P3a_Delta_Novel_topo_topographicCorrCoeffAligned,P3a_Delta_Novel_topo_topographicCorrCoeff,P3a_Delta_Novel_topo_covariance,P3a_Delta_Novel_topo_covarianceAligned,P3a_Delta_Novel_topo_corr,P3a_Delta_Novel_topo_corrAligned,P3a_Delta_Novel_topo_topographicCorrCoeffAlignedSqrt3,P3a_Delta_Novel_topo_topographicCorrCoeffSqrt3,P3a_Delta_Novel_topo_asymetricCorr,P3a_Delta_Novel_topo_asymetricCorrAligned,P3a_Delta_Novel_topo_topographicSimilarity,P3a_Delta_Novel_topo_topographicSimilaritySqrt3,P3a_Delta_Novel_topo_topographicCorrBoundarySub,P3a_Delta_Novel_topo_topographicCorrBoundarySubSqrt3,P3a_Delta_Novel_topo_topographicSimilarity_wLinear,P3a_Delta_Novel_topo_topographicCorrBoundarySub_wLinear,P3a_Delta_Novel_topo_topographicCorrBoundarySub_wLinear2,P3a_Delta_Novel_topo_topographicSimilarity_wNormal,P3a_Delta_Novel_topo_topographicCorrBoundarySub_wNormal,P3a_Delta_Novel_topo_topographicCorrBoundarySub_wNormal2,P3a_Delta_Novel_topo_topographicSimilarityAligned,P3a_Delta_Novel_topo_topographicSimilarityAlignedSqrt3,P3a_Delta_Novel_topo_topographicCorrBoundarySubAligned,P3a_Delta_Novel_topo_topographicCorrBoundarySubAlignedSqrt3,P3a_Delta_Novel_topo_topographicSimilarityAligned_wLinear,P3a_Delta_Novel_topo_topographicCorrBoundarySubAligned_wLinear,P3a_Delta_Novel_topo_topographicCorrBoundarySubAligned_wLinear2,P3a_Delta_Novel_topo_topographicSimilarityAligned_wNormal,P3a_Delta_Novel_topo_topographicCorrBoundarySubAligned_wNormal,P3a_Delta_Novel_topo_topographicCorrBoundarySubAligned_wNormal2,P3b_Delta_Target_similarity_spatial,P3b_Delta_Target_similarity_locationLR,P3b_Delta_Target_similarity_locationPA,P3b_Delta_Target_similarity_timing,P3b_Delta_Target_similarity_amplitude,P3b_Delta_Target_matchScore,P3b_Delta_Target_attr_timeMSfromTriger,P3b_Delta_Target_attr_leftRight,P3b_Delta_Target_attr_posteriorAnterior,P3b_Delta_Target_attr_amplitude,P3b_Delta_Target_attr_logAmp,P3b_Delta_Target_attr_GFP,P3b_Delta_Target_attr_logGFP,P3b_Delta_Target_attr_CenterOfMassTimeMSfromTriger,P3b_Delta_Target_attr_CenterOfMassLR,P3b_Delta_Target_attr_CenterOfMassPA,P3b_Delta_Target_attr_inverseTimeMSfromTriger,P3b_Delta_Target_attr_tStart_peakChannel_MSfromTriger,P3b_Delta_Target_attr_tStart_Average_MSfromTriger,P3b_Delta_Target_attr_interpolatedPeakTime_MS,P3b_Delta_Target_attr_peakERPv_broudBand,P3b_Delta_Target_attr_peakERPv,P3b_Delta_Target_attr_capsuleERPv_broudBand,P3b_Delta_Target_attr_capsuleERPv,P3b_Delta_Target_similarity_GFP,P3b_Delta_Target_similarity_tStart_peakChannel,P3b_Delta_Target_similarity_tStart_Average,P3b_Delta_Target_similarity_centerOfMassTime,P3b_Delta_Target_similarity_inverseTime,P3b_Delta_Target_similarity_logAmp,P3b_Delta_Target_similarity_logGFP,P3b_Delta_Target_topo_topographicCorrCoeffAligned,P3b_Delta_Target_topo_topographicCorrCoeff,P3b_Delta_Target_topo_covariance,P3b_Delta_Target_topo_covarianceAligned,P3b_Delta_Target_topo_corr,P3b_Delta_Target_topo_corrAligned,P3b_Delta_Target_topo_topographicCorrCoeffAlignedSqrt3,P3b_Delta_Target_topo_topographicCorrCoeffSqrt3,P3b_Delta_Target_topo_asymetricCorr,P3b_Delta_Target_topo_asymetricCorrAligned,P3b_Delta_Target_topo_topographicSimilarity,P3b_Delta_Target_topo_topographicSimilaritySqrt3,P3b_Delta_Target_topo_topographicCorrBoundarySub,P3b_Delta_Target_topo_topographicCorrBoundarySubSqrt3,P3b_Delta_Target_topo_topographicSimilarity_wLinear,P3b_Delta_Target_topo_topographicCorrBoundarySub_wLinear,P3b_Delta_Target_topo_topographicCorrBoundarySub_wLinear2,P3b_Delta_Target_topo_topographicSimilarity_wNormal,P3b_Delta_Target_topo_topographicCorrBoundarySub_wNormal,P3b_Delta_Target_topo_topographicCorrBoundarySub_wNormal2,P3b_Delta_Target_topo_topographicSimilarityAligned,P3b_Delta_Target_topo_topographicSimilarityAlignedSqrt3,P3b_Delta_Target_topo_topographicCorrBoundarySubAligned,P3b_Delta_Target_topo_topographicCorrBoundarySubAlignedSqrt3,P3b_Delta_Target_topo_topographicSimilarityAligned_wLinear,P3b_Delta_Target_topo_topographicCorrBoundarySubAligned_wLinear,P3b_Delta_Target_topo_topographicCorrBoundarySubAligned_wLinear2,P3b_Delta_Target_topo_topographicSimilarityAligned_wNormal,P3b_Delta_Target_topo_topographicCorrBoundarySubAligned_wNormal,P3b_Delta_Target_topo_topographicCorrBoundarySubAligned_wNormal2,taskData.elm_id,visit,agebin,reference_agebin,taskData._id.$oid,miscatch_P3b_target,miscatch_P3a_novel
319,0.19640982780000002,0.46084355439999997,0.4261963218,0.7031439741,0.7919946598000001,0.7201925129000001,308.0,-0.25,0.0,6.36315291,1.850523995,4.4771136380000005,1.4989785619999998,324.63746299999997,-0.35247395119999997,-0.143384722,0.003246753247,240.0,268.1516588,310.0,13.23322844,11.00564412,11.72416577,9.971605756,0.7989308989,0.5691462277,0.6032228208,0.6589464931,0.7271486897,0.8711553493,0.8889966323999999,0.300593389,0.014606664209999998,69.92239273,1438.946545,9.859468152,24.31393888,0.6698740307,0.24444642030000002,-0.002837916262,0.17731870190000001,0.2606897625,0.6388143433,0.2319082032,0.6143823117,0.2682481419,0.237894832,0.23646791190000002,0.6268255364,0.549505857,0.4305265229,0.6428739212,0.8630618823999999,0.6675720160999999,0.8739757337,0.6483844807,0.6718691917,0.8359345958,0.910710695,0.8908791689,0.9454395844,0.4902935954,0.6663982169,0.7357366556,0.7084596056,0.9134889203000001,0.7502050125,332.0,-0.25,-0.4,12.82794143,2.5516257159999998,8.230030816000001,2.107789759,388.93003010000007,-0.3058771348,-0.4216499818,0.003012048193,232.0,264.4313725,333.0,15.77992031,13.44836144,12.8073203,11.17286468,0.9551458723,0.826014349,0.7393625411,0.9489950509,0.739165559,0.8395239759,0.8859865320999999,0.60228305,0.07759997128,1306.269301,10138.45554,33.64081275,45.44491245,0.8445010884999999,0.4265341945,0.029555371539999997,0.41190128810000004,0.5134514338,0.8007552419,0.45533255170000003,0.7693245055,0.5237619269,0.46219059149999997,0.4622393849,0.7065726533,0.5582433735,0.5520136389,0.6936144983,0.8851958873000001,0.8278181828,0.9389554501,0.7106447669,0.840710993,0.9203554965,0.916034705,0.9421666516,0.9710833258,56350b55048db6162fb42043,1,aob_12-16F,'aob_12-16F',56350b55048db6162fb42043,0.0,0.0
321,0.8297434625,0.9179395217,0.9039195317000001,0.9304657368000001,0.9865329556,0.8946583019,280.0,0.0625,0.25,10.81010684,2.380481515,7.319882902000001,1.990594331,276.9315555,0.0726808233,0.2661048332,0.003571428571,176.0,211.7647059,279.0,8.32390298,7.33132023,8.215403868,6.527546501000001,0.987416,0.9999157713,0.9917208363,0.9778951079000001,0.9036272006999999,0.9268586206,0.9308707134,0.6101037933,0.4365563387,1939.421288,2710.413708,25.99388316,28.11012048,0.8481407079000001,0.7586010384,0.4988752769,0.7308660926999999,0.7113683990999999,0.8926849020000001,0.7748084362000001,0.918469587,0.7142025256,0.7771079551000001,0.7770992235999999,0.8365679615,0.8412185123,0.8631114879,0.7692829612000001,0.9162810492,0.9051245994,0.9673184161,0.7711805298000001,0.9059935028,0.9529967514,0.893770708,0.9480980915999999,0.9740490458,0.09763041853,0.09986583535,0.9776158001,0.335605575,0.4339757631,0.4317166701,484.0,-0.5,-0.2,4.277535125,1.4533769380000001,2.774531905,1.02048205,447.60413789999996,-0.3540341493,-0.1268140831,0.0020661157019999997,200.0,322.5671642,485.0,4.8473312,3.69880011,5.692493148,4.5991447889999995,0.4085489342,0.48759421420000004,0.9637788166,0.8521043745999999,0.40776572850000004,0.27292082,0.22857976800000002,0.4580144149,-0.008173382697,-31.37617024,1758.2363129999999,1.000594778,7.138105706,0.7708319645999999,-0.20143454170000002,-0.02458943562,0.3527613547,0.07130899044,0.4146815972,0.021836516559999998,0.27950813539999997,0.07389793611,0.0224905584,0.022462244040000003,0.1236697641,0.034288256139999994,0.03663656753,0.5087085431,0.7982820128,0.7153925063,0.8943650006999999,0.5285213558,0.7262612851000001,0.8631306425,0.7628843389,0.8291450840000001,0.914572542,563948d8048db6162fb4243a,1,aob_12-16F,"'aob_12-16F', 'aob_14-19F'",563948d8048db6162fb4243a,0.0,0.0
322,0.07493099343,0.46084355439999997,0.1625952945,0.9200392025,0.8215469977,0.7901095988,232.0,-0.25,0.9375,13.23570774,2.582918309,8.519552305,2.142363793,289.05857180000004,0.020663372519999997,0.2632020254,0.004310344828,128.0,192.11469530000002,230.0,17.89768405,17.02461422,16.62244476,14.54747146,0.8784667243000001,0.7414064689000001,0.98454405,0.9268173773999999,0.9688704559,0.7608962357,0.8121338543000001,0.2699642792,0.1708641337,1770.141324,2796.812393,55.1468174,32.70062088,0.6463019028,0.5549028683,0.1041213167,0.12826826289999999,0.5174356285,0.8028210966,0.5073773471,0.7975850859,0.5292370643,0.5158012889,0.5135377978,0.8970040791,0.8480740619,0.6235859397,0.3068257991,0.6744720511,0.3688554554,0.7171644231000001,0.3168951678,0.3786865929,0.6893432965,0.7099234252,0.7321451356,0.8660725678,0.774204325,0.8063684248999999,0.9601124016,0.9056503523,0.2515924467,0.9066338979999999,416.0,0.0625,-0.3,18.98066277,2.943420712,12.81719644,2.5507877409999997,464.77479450000004,0.07426148476,-0.2926467356,0.002403846154,280.0,326.1751152,415.0,15.58320655,14.25093929,14.69645454,13.27805369,0.24272951260000003,0.9687209638,0.9448852205,0.7109434726,0.8728377079999999,0.3872784511,0.3792620734,0.5758911158,0.39607928,12819.86976,18639.82661,74.70953347,85.69120946,0.8319810981,0.7343910484999999,0.2232607043,0.3930848875,0.6293776434,0.8569795081,0.6921659959,0.8845792614,0.6501812444,0.7087392460999999,0.7072147641,0.8995368136,0.8734480287,0.8306915555,0.7218908881999999,0.8970648778,0.8291958102,0.9394760208,0.7390039339,0.8416339259000001,0.9208169629999999,0.9232529140000001,0.9398197673,0.9699098837000001,55149777694f0bc90e5a8a54,1,aob_12-16F,"'aob_12-16F', 'aob_14-19F'",55149777694f0bc90e5a8a54,0.0,0.0
323,0.8761950592000001,0.9693286056,0.9039195317000001,0.7031439741,0.7144228556000001,0.7645870095,308.0,-0.0625,0.25,5.643535791000001,1.7305107819999999,3.497841539,1.252146075,328.72574710000004,-0.10511687380000001,0.05749742068,0.003246753247,192.0,256.96551719999997,308.0,10.89665674,9.18018502,9.025328092999999,6.689260992,0.6333913692,0.9628503093,0.7076858698,0.6225921956,0.7271486897,0.7647288882,0.6557263963000001,0.5526365154,0.1964848009,559.8131549,1574.5400650000001,9.347561047000001,14.79766396,0.8206283679,0.5813571084,0.06364065219,0.3072528809,0.34840242439999997,0.7036559907,0.4237073065,0.751084243,0.36057423380000003,0.4323326607,0.42997761409999996,0.6796506811,0.63861698,0.5942934678,0.5515387354,0.820084631,0.7623441231999999,0.9135178102,0.5621544019,0.7671230155,0.8835615077,0.8437336552,0.890557039,0.9452785195000001,0.9047455354,0.942332933,0.9601124016,0.042825670329999996,0.5439146052,0.8336250152,552.0,0.0,-0.3,5.215996217,1.6517300990000001,3.532323289,1.26195581,505.4098851,-0.1137583191,-0.49070644869999996,0.001811594203,308.0,353.4323144,553.0,8.88900281,6.74873642,7.5083950779999995,5.673095364,0.5400265865,0.7492539838,0.7095245579999999,0.35359191630000003,0.1327999584,0.47878287950000004,0.47092764369999995,0.4103827262,0.152573982,1432.228314,3852.306615,20.72840214,23.81529814,0.7431269712999999,0.5343512467,0.08397450296,0.2440822308,0.5446830711,0.8166725516,0.46437817789999997,0.7743855986,0.5738516432999999,0.48846381590000004,0.47159861299999994,0.8641783059,0.7831537093000001,0.6245268607,0.6257978616,0.8553516384000001,0.6592137667,0.870312904,0.6451760975999999,0.6754148575,0.8377074287999999,0.8908454337999999,0.8840963211,0.9420481605,5541f9d2f37cae8908b4e010,1,aob_12-16F,"'aob_12-16F', 'aob_14-19F'",5541f9d2f37cae8908b4e010,0.0,0.0
324,0.3344519157,0.9966348725,0.3355811892,0.3128526748,0.6944734128,0.5493629255,164.0,0.0,0.8125,5.466016943,1.698550187,3.68594131,1.304525937,181.334349,-0.1768128294,0.5267709065999999,0.006097560976,96.0,114.60952379999999,163.0,11.03358003,9.54239965,8.864152538999999,7.348095477999999,0.6664851412,0.4307092407,0.3852086386,0.4895963132,0.2950958177,0.733320031,0.7105539121,0.3787303176,-0.022677539930000004,-97.80345678,1633.384149,6.185634775,20.03480872,0.723508033,-0.283051404,-0.02046151566,0.20034558460000002,0.17492422289999998,0.5592637251,0.08772073068,0.44432499719999996,0.1787110621,0.08977865440999999,0.08856501721000001,0.3792381517,0.2041453409,0.134376344,0.5665664838000001,0.8274662576,0.664231896,0.8725156834000001,0.5745415643,0.6695711388000001,0.8347855693999999,0.8874191526,0.8945805101000001,0.947290255,0.415737433,0.47954315840000006,0.8669447695999999,0.6723790040000001,0.5549413046,0.8826471670999999,328.0,-0.3125,-0.35,5.307291932,1.669081711,3.6667307539999996,1.299300462,366.4114236,-0.1261634515,-0.46999688219999997,0.003048780488,200.0,232.0942761,327.0,7.27848985,5.81335524,6.822274052,5.90132188,0.5643531411,0.48759421420000004,0.39634499549999996,0.8016785790000001,0.6970165434000001,0.4991394335,0.5154192275,0.4757643595,0.3424221016,3487.385046,4845.404268,26.12310535,24.53117582,0.7806636689,0.6996066508,0.2321745532,0.2810611345,0.6840620671,0.881113461,0.6970281248000001,0.8866456765,0.6952481237,0.7053609446,0.7004577975,0.8894651855,0.8562411252,0.7838348875,0.6423756525,0.8628388486,0.7085408427,0.8915005796,0.6532088735,0.7176290711,0.8588145355,0.9089246937000001,0.9090532090000001,0.9545266045,55c9404a5de8844106163e9e,1,aob_12-16F,"'aob_12-16F', 'aob_14-19F'",55c9404a5de8844106163e9e,0.0,0.0
326,0.9008777272,0.9966348725,0.9039195317000001,0.9931767997,0.9959820705,0.906917724,264.0,0.0,0.25,10.41693888,2.343433219,6.5226104860000005,1.875274677,276.5630002,-0.03506681892,0.07648202700000001,0.003787878788,184.0,229.55725189999998,265.0,15.42283408,11.44130103,12.7445001,9.94369222,0.9973094409000001,0.9896754185,0.9210652169,0.9790025841,0.9733495434999999,0.9483142344,0.9846434189,0.6571586000999999,0.5671911414999999,2509.238096,2907.251671,27.46022001,30.201649600000003,0.8694075325,0.8277702486,0.4596838234,0.5571419487,0.6522140041,0.8672215072,0.7597711827,0.9124889327,0.6566928865999999,0.7628567039,0.7628889298,0.8642628386,0.87164565,0.8658883339,0.7173263292000001,0.8951701472,0.8369142401,0.9423820076999999,0.7210719281,0.8393688068999999,0.9196844034,0.9142055055,0.942189798,0.971094899,0.04636923791,0.942332933,0.04920685279,0.897176018,0.5043394817,0.8698445304000001,356.0,0.0,0.25,16.53506342,2.8054831819999997,10.96082894,2.394327912,373.42122889999996,-0.027853475539999995,-0.08087949521000001,0.002808988764,264.0,302.7142857,356.0,12.73549016,11.63565142,11.67078834,9.12949324,0.5314788536999999,0.99927723,0.9962651477,0.8555198348999999,0.935122132,0.5456537921,0.5614423502,0.35794724520000004,0.3234814903,6233.978721,6898.186068000001,45.28665311,58.91687935,0.7100239661,0.6864619637999999,0.3199928643,0.2925580315,0.5778933128,0.832944164,0.6155309441,0.8506481534,0.5834406384,0.6206770864,0.6167991662,0.8321923948000001,0.8345527582,0.6337603745,0.7518257203,0.9092969331999999,0.751329756,0.9090969409999999,0.7594705279,0.7568205597,0.8784102798000001,0.9026379066,0.9051363026000001,0.9525681512999999,55fd93d34071c0807469d762,1,aob_12-16F,'aob_12-16F',55fd93d34071c0807469d762,0.0,0.0
327,0.027730441239999997,0.9966348725,0.027824072789999998,0.9834528414,0.9409897855,0.8918360970999999,268.0,0.0,-0.4,8.116303016,2.093874757,5.615815423,1.7255868000000003,272.7151212,-0.027748236989999994,-0.32519607629999997,0.003731343284,168.0,198.09742119999999,268.0,12.72955655,6.4759699,10.22410522,6.443513181,0.9445095043999999,0.993049002,0.9965195767,0.9889020615,0.9593020995,0.9944942251000001,0.9962206127,0.3140673048,0.2197838627,1907.1702280000002,2725.312978,27.97228164,39.7877538,0.6797369981,0.603483315,0.12912947730000002,0.168880422,0.4038992206,0.7391927040999999,0.39104052310000004,0.7312635420999999,0.41197174909999995,0.3992047079,0.39381715359999997,0.8757329026999999,0.8750471555,0.5820928951,0.5745059682,0.8313135287000001,0.6079428431,0.8471381692000001,0.5806392054,0.6128585517,0.8064292758,0.9260792983,0.9086250386,0.9543125193,0.04733969765,0.9620549773999999,0.04920685279,0.5257627408,0.9202645579000001,0.6930283614,312.0,-0.125,0.25,8.680625599999999,2.1610936,5.984670981,1.789201364,310.7184272,-0.169548038,-0.1882702489,0.003205128205,196.0,227.7727273,311.0,7.12619958,5.12906173,10.30131994,7.257191312000001,0.9329978428,0.4458210498,0.3553776836,0.320255864,0.5164490045,0.9817523817,0.9879777197,0.3604015949,-0.003645797388,-56.56103705,5591.283825,20.1787362,40.05207756,0.7116430867,-0.1539090567,-0.01034265955,0.22894877239999997,0.3371593737,0.696004017,0.26526864629999997,0.6425328068,0.34879513799999995,0.2720572117,0.2705985868,0.6051203095000001,0.461747497,0.37879857570000003,0.6692160129,0.8746925779000001,0.6811620318000001,0.8798665568,0.6771293065999999,0.6879195115000001,0.8439597557999999,0.9295037618,0.9243092258,0.9621546129,54bd4549695f6fa55f00002e,1,aob_12-16F,"'aob_12-16F', 'aob_14-19F'",54bd4549695f6fa55f00002e,0.0,0.0
329,0.8761950592000001,0.9693286056,0.9039195317000001,0.7783319906999999,0.9787395771999999,0.7416353497,300.0,-0.0625,0.25,8.858485751,2.181375842,5.747208992999999,1.7487143440000001,299.79650449999997,-0.11140040470000001,0.1524422536,0.003333333333,236.0,271.3236715,299.0,13.57051814,12.30747123,12.15323969,10.64590141,0.9561183184000001,0.6088550471999999,0.5733490962,0.8606424948,0.7811663729,0.9989429064,0.9989242923999999,0.6044948826,0.1126799392,511.46009789999994,2743.833675,16.94550874,27.86768133,0.8455336114,0.48300193210000003,0.07113654003,0.5434203885,0.4669053876,0.7757878288,0.4505183649,0.7666035623999999,0.4701358636,0.4523870733,0.4544884736,0.6310168896,0.5428596407,0.5917207862,0.767847738,0.9157108704000001,0.8804395328,0.9584434893000001,0.7711088284000001,0.8820134815999999,0.9410067408,0.9180293878,0.9404110588,0.9702055293999999,0.6933088806000001,0.942332933,0.7357366556,0.9605748437,0.4060275551,0.6013715725,368.0,0.0,-0.4,4.025973863,1.392766835,3.25694519,1.1807896979999999,374.6231148,0.01501803647,-0.48610220979999996,0.002717391304,304.0,330.46666669999996,367.0,10.69467406,9.34935477,9.778885043999999,8.681834995,0.49089892420000003,0.7896272767,0.9178164968000001,0.8641276974,0.9850266961,0.2227064216,0.3794125289,0.3010589057,0.2846512081,313.1775811,331.2295792,3.662214062,4.2232475780000005,0.6702196545,0.6578158654999999,0.618786739,0.7160300485,0.4045106026,0.7395654879000001,0.49101045530000004,0.78891506,0.4089331359,0.4940354915,0.4946199209,0.5169615345,0.5577327975999999,0.6469321281,0.4664796742,0.7755519754000001,0.5765854803,0.832315343,0.4713836078,0.5798961084,0.7899480542,0.5835787428,0.6450103474000001,0.8225051737000001,55d8a0e732991e86075a0f9d,1,aob_12-16F,'aob_12-16F',55d8a0e732991e86075a0f9d,0.0,0.0
332,0.08238931675,0.1167879705,0.705460643,0.34504480159999995,0.8990638704999999,0.4700836548,168.0,0.375,0.625,7.525931927999999,2.018354647,5.261066582,1.660333778,163.15692769999998,0.3080252877,0.6853087451000001,0.005952380952,84.0,99.30864198,167.0,14.11288129,11.32228849,13.78589281,11.34413668,0.9071861459999999,0.3272997721,0.2696081533,0.343151349,0.3385340714,0.9726580308,0.9798734906000001,0.5378171182,0.01106400867,54.23398709,2636.292823,0.6427442904999999,28.05060316,0.8132265341,0.22282855079999997,-0.003695259411,0.3860196955,0.01622895707,0.25318047120000003,0.001916327361,0.1242100014,0.01669542215,0.001959394798,0.001948432609,0.05217547634,0.006333748438,0.005486383474,0.7082630547,0.8913840581,0.8311800073000001,0.9402247868000001,0.7111374049,0.8327326375,0.9163663187000001,0.9180972390000001,0.9338335611,0.9669167806,0.36750413530000003,0.6262493118,0.5868335954999999,0.9991726165000001,0.995239413,0.8076928392,384.0,0.125,-0.45,10.22376876,2.32471528,6.827472657,1.92095457,423.08295219999997,0.054215182300000005,-0.6140945010000001,0.002604166667,292.0,315.2226721,384.0,14.66054656,13.80262301,14.36641095,12.97297713,0.9929536475,0.8955549993,0.9903663336,0.9813408041,0.9975007008,0.9907540856,0.9937170034999999,0.40376555560000005,0.02560709184,461.27637410000006,7273.278538,35.05615382,44.44028839999999,0.7391111532,0.2947497325,-0.015039534219999998,0.2637245056,0.5674952525,0.8279181641,0.5051325909000001,0.7964071125,0.587363029,0.513385103,0.5133346101,0.795487122,0.6929584538,0.6774893534,0.719407292,0.8960349406,0.7859450968,0.922849192,0.7402080627,0.7945164961,0.897258248,0.9337717893999999,0.9224272246999999,0.9612136123,5502229440a873c1062bde4d,1,aob_12-16F,"'aob_12-16F', 'aob_14-19F'",5502229440a873c1062bde4d,0.0,0.0
333,0.10529975960000001,0.9966348725,0.1056553031,0.2272474136,0.5872363192,0.285877093,152.0,0.0,1.0,4.53273296,1.51132506,3.4890629489999996,1.249633204,146.902185,-0.1232296739,0.6771785434,0.006578947367999999,100.0,111.4736842,153.0,12.48573285,11.47773203,12.76990254,11.33944157,0.6318412149,0.46794915189999997,0.3596985722,0.2350438414,0.18189894059999998,0.5395518020000001,0.6530661464999999,0.2494794887,0.008282918165,11.24612397,338.7305296,0.1417039196,7.96280529,0.6295230191,0.2023303923,-0.00108360591,0.1905596113,0.006554843615,0.1871489716,0.0002279524121,0.06108689686,0.006633599725000001,0.00022935304749999998,0.0002296086942,0.02119490764,0.0009994370411,0.0005172267485,0.36833803579999996,0.7168289270999999,0.4458213983,0.7639301251999999,0.3716996622,0.44826083710000003,0.7241304186,0.5881839421,0.570754749,0.7853773745,0.6933088806000001,0.942332933,0.7357366556,0.4665790679,0.9995595113,0.7979837619,468.0,0.0,-0.4,10.56234046,2.357294888,6.968457322999999,1.941393869,512.4988179999999,-0.0717360162,-0.4652667444,0.002136752137,344.0,393.9883041,469.0,11.83781717,10.71540433,10.26106666,9.150563188,0.9970769681999999,0.3686998023,0.2961421037,0.3010973113,0.5091044825,0.9798731634000001,0.9882393175,0.6375638964,0.1254573155,1860.6543629999999,9455.694475,25.02341095,41.94454076,0.8606790636,0.5006090119,0.03537340727,0.5019900115,0.46147982340000004,0.7727711603,0.4721345493,0.7786732592,0.483676171,0.48872579369999997,0.4890592525,0.7166243466,0.6411821684000001,0.6153395697,0.7735380003,0.9179673145,0.8761279236,0.956876394,0.7872963043000001,0.8849646093000001,0.9424823046999999,0.9339361512000001,0.9547853553,0.9773926776999999,55eb3ee632991e86075a1d45,1,aob_12-16F,'aob_12-16F',55eb3ee632991e86075a1d45,0.0,0.0
