iter	Logloss
0	0.6812155281
1	0.6690680324
2	0.6612294308
3	0.6512531977
4	0.6422757293
5	0.6327132672
6	0.622690864
7	0.6115720236
8	0.598692095
9	0.5886781106
10	0.5804053156
11	0.5737207769
12	0.5639053567
13	0.5581136914
14	0.5517604517
15	0.5471395056
16	0.538818834
17	0.5324605813
18	0.5228194495
19	0.5160513928
20	0.5087150676
21	0.5028064178
22	0.495434183
23	0.4880184171
24	0.4806368436
25	0.4751225607
26	0.4685822606
27	0.4622787932
28	0.4566449628
29	0.4507374337
30	0.4444750718
31	0.4402866781
32	0.4335092002
33	0.4286955248
34	0.4243369755
35	0.4194019935
36	0.4150727151
37	0.4121968113
38	0.407947752
39	0.4039738203
40	0.4005592943
41	0.397072489
42	0.3929749732
43	0.389209813
44	0.3851487673
45	0.380682207
46	0.3766635177
47	0.3739046004
48	0.3715562971
49	0.3674984153
50	0.3643317621
51	0.3618079082
52	0.3586312059
53	0.3554594187
54	0.3527707026
55	0.3499190173
56	0.3470392237
57	0.3443462781
58	0.3417888769
59	0.339324098
60	0.3367678537
61	0.3348142881
62	0.3332633323
63	0.3310292507
64	0.3281359105
65	0.3262401021
66	0.3244926932
67	0.321158937
68	0.3183470379
69	0.3155764887
70	0.3128460647
71	0.3098104242
72	0.3073053386
73	0.3051238307
74	0.3031754745
75	0.3016599056
76	0.2992552057
77	0.2976250296
78	0.2964040674
79	0.2940368831
80	0.291715282
81	0.2902919039
82	0.2883596752
83	0.2871600583
84	0.286133454
85	0.284782334
86	0.2824989172
87	0.2803413016
88	0.2790656473
89	0.2773062905
90	0.2763824992
91	0.2744430257
92	0.2722863203
93	0.2709852103
94	0.2693992162
95	0.2684365313
96	0.267342815
97	0.2662915828
98	0.2648695713
99	0.263376816
100	0.2615328243
101	0.2598475835
102	0.258101513
103	0.2570764085
104	0.2557600803
105	0.2550739556
106	0.2540220888
107	0.2523387209
108	0.2506983258
109	0.2487753979
110	0.2474794387
111	0.2461005608
112	0.2437731895
113	0.2417645465
114	0.2403311456
115	0.23924773
116	0.2383498998
117	0.2367981795
118	0.2354019199
119	0.2343012668
120	0.2333485087
121	0.2322353861
122	0.2311261041
123	0.2296226811
124	0.2281679298
125	0.2265383693
126	0.2253178853
127	0.2240969832
128	0.2231525653
129	0.2221891176
130	0.2213712461
131	0.2200852617
132	0.2190611689
133	0.2187044651
134	0.216924253
135	0.2163935306
136	0.2153867249
137	0.2146646407
138	0.2134734417
139	0.212342361
140	0.2116640274
141	0.2108359146
142	0.2101624069
143	0.2091203296
144	0.2083254769
145	0.2075503381
146	0.2066391264
147	0.2051948616
148	0.2042715704
149	0.2034964085
150	0.2022885402
151	0.2008217631
152	0.2001455258
153	0.1990900924
154	0.198637626
155	0.197912442
156	0.1971397784
157	0.1964873914
158	0.1955565168
159	0.195209519
160	0.1944714948
161	0.1937938766
162	0.1931342356
163	0.1925379691
164	0.1916007094
165	0.1903387423
166	0.1898487297
167	0.1890986156
168	0.1887460916
169	0.1879497976
170	0.1873773842
171	0.1862322646
172	0.1856919654
173	0.1852295509
174	0.1846508275
175	0.1839205445
176	0.1830382903
177	0.182343931
178	0.1817524619
179	0.1811015762
180	0.1806646374
181	0.1799565518
182	0.1793925107
183	0.1784605983
184	0.1777875672
185	0.1771758517
186	0.1765107115
187	0.1759722826
188	0.1752463124
189	0.1742552152
190	0.1739365351
191	0.1732947732
192	0.1727898375
193	0.1722817507
194	0.1716023595
195	0.1712486894
196	0.1708980374
197	0.1705078354
198	0.1700096507
199	0.1695902116
200	0.168586376
201	0.1681579327
202	0.1677167811
203	0.1674229907
204	0.1668000256
205	0.1663795238
206	0.1659930644
207	0.1654278851
208	0.1648508215
209	0.1645089874
210	0.1636840842
211	0.1631058219
212	0.1626242092
213	0.1620581206
214	0.1617238409
215	0.1610381025
216	0.1603006205
217	0.159918315
218	0.1592757179
219	0.158780402
220	0.1581322899
221	0.1577710773
222	0.157540649
223	0.1572020234
224	0.1567018159
225	0.1559510607
226	0.1554685311
227	0.1551599685
228	0.1547584345
229	0.1543527461
230	0.1540472068
231	0.1536973865
232	0.1531699179
233	0.1527092837
234	0.1520829851
235	0.151726875
236	0.1512735685
237	0.1506581121
238	0.1504001666
239	0.1497511294
240	0.1492508465
241	0.1487969798
242	0.1482640529
243	0.1478074133
244	0.1472070355
245	0.1467567544
246	0.14639275
247	0.1460682397
248	0.1457823537
249	0.1454622057
250	0.1449269896
251	0.1447917524
252	0.1445470967
253	0.1440081845
254	0.1436808078
255	0.1433843486
256	0.1430226612
257	0.1426354384
258	0.1424144896
259	0.1423399253
260	0.1418892125
261	0.141377177
262	0.140634406
263	0.1402314653
264	0.139807053
265	0.13932467
266	0.1388484697
267	0.1383622664
268	0.1379316442
269	0.1374693823
270	0.1370062764
271	0.1367161035
272	0.1362899048
273	0.1359144963
274	0.1354212452
275	0.1351240163
276	0.1347340043
277	0.1344860545
278	0.1343126863
279	0.1340105057
280	0.1334984139
281	0.1331636376
282	0.1326517981
283	0.1323720356
284	0.1320734883
285	0.1318723705
286	0.1316350736
287	0.1312070371
288	0.1309950723
289	0.1306968717
290	0.1304320194
291	0.1300509205
292	0.1297328798
293	0.1293305182
294	0.128919193
295	0.1284681175
296	0.1282811429
297	0.1280294043
298	0.1277941197
299	0.1275937084
300	0.1271850518
301	0.1268001684
302	0.1265044239
303	0.1261291704
304	0.1258275892
305	0.1255741143
306	0.125197449
307	0.1250309852
308	0.1246096953
309	0.1242975681
310	0.1240171794
311	0.1237723686
312	0.1234538767
313	0.1229882295
314	0.1225574962
315	0.122303474
316	0.121880446
