iter	Passed	Remaining
0	3	3017
1	5	2992
2	8	2724
3	10	2538
4	12	2418
5	14	2466
6	16	2386
7	18	2306
8	20	2236
9	22	2234
10	24	2206
11	26	2188
12	28	2145
13	30	2149
14	33	2180
15	35	2212
16	38	2243
17	42	2306
18	45	2324
19	48	2353
20	49	2320
21	51	2298
22	53	2282
23	55	2250
24	57	2230
25	59	2217
26	61	2212
27	64	2222
28	66	2241
29	69	2242
30	71	2219
31	73	2235
32	76	2232
33	79	2244
34	81	2258
35	84	2262
36	87	2267
37	89	2266
38	91	2253
39	93	2234
40	95	2228
41	97	2229
42	100	2247
43	104	2269
44	107	2285
45	110	2290
46	113	2309
47	116	2305
48	117	2289
49	120	2287
50	123	2294
51	125	2288
52	127	2275
53	129	2266
54	131	2261
55	134	2259
56	136	2256
57	138	2246
58	140	2235
59	142	2232
60	144	2229
61	146	2221
62	148	2213
63	150	2203
64	152	2190
65	153	2177
66	156	2181
67	159	2189
68	161	2184
69	164	2186
70	166	2180
71	168	2169
72	170	2165
73	172	2161
74	174	2150
75	175	2139
76	178	2140
77	181	2143
78	183	2140
79	186	2142
80	188	2140
81	190	2131
82	193	2132
83	196	2138
84	199	2144
85	200	2134
86	203	2137
87	206	2143
88	208	2136
89	211	2135
90	213	2129
91	215	2129
92	217	2123
93	219	2119
94	222	2114
95	223	2106
96	225	2101
97	228	2102
98	230	2098
99	232	2092
100	234	2085
101	236	2077
102	238	2073
103	240	2069
104	241	2061
105	243	2055
106	245	2048
107	247	2045
108	249	2039
109	252	2039
110	254	2037
111	256	2029
112	258	2027
113	260	2026
114	262	2020
115	264	2013
116	266	2008
117	268	2006
118	269	1998
119	271	1990
120	273	1984
121	276	1988
122	278	1982
123	280	1981
124	282	1980
125	284	1974
126	287	1975
127	289	1973
128	292	1975
129	294	1969
130	296	1966
131	298	1965
132	301	1965
133	303	1961
134	305	1954
135	306	1948
136	310	1953
137	312	1949
138	313	1944
139	317	1948
140	319	1947
141	322	1948
142	325	1951
143	329	1956
144	332	1960
145	335	1965
146	339	1970
147	342	1972
148	346	1978
149	349	1979
150	352	1980
151	355	1985
152	359	1990
153	362	1994
154	366	1999
155	370	2005
156	374	2009
157	377	2009
158	379	2009
159	382	2009
160	385	2010
161	388	2008
162	390	2007
163	394	2008
164	397	2010
165	400	2013
166	403	2010
167	405	2008
168	408	2009
169	411	2011
170	415	2013
171	418	2015
172	422	2018
173	425	2019
174	428	2022
175	432	2024
176	436	2027
177	439	2030
178	443	2031
179	446	2032
180	449	2034
181	452	2035
182	456	2036
183	459	2038
184	463	2040
185	466	2042
186	469	2042
187	472	2041
188	474	2037
189	477	2037
190	479	2032
191	482	2028
192	484	2027
193	486	2023
194	488	2016
195	491	2014
196	493	2010
197	495	2005
198	497	2002
199	499	1996
200	500	1989
201	502	1984
202	504	1979
203	505	1973
204	508	1970
205	512	1973
206	514	1972
207	517	1971
208	520	1969
209	522	1965
210	525	1965
211	528	1962
212	530	1959
213	533	1958
214	535	1954
215	538	1953
216	540	1949
217	542	1946
218	545	1944
219	547	1941
220	550	1939
221	552	1937
222	555	1934
223	557	1929
224	559	1927
225	561	1924
226	564	1921
227	566	1918
228	569	1917
229	571	1911
230	573	1909
231	575	1905
232	578	1904
233	580	1901
234	582	1896
235	584	1892
236	586	1887
237	588	1882
238	589	1878
239	592	1875
240	594	1870
241	596	1869
242	598	1865
243	601	1862
244	603	1858
245	604	1853
246	606	1850
247	609	1847
248	611	1843
249	613	1841
250	616	1838
251	618	1836
252	621	1835
253	623	1831
254	625	1827
255	627	1824
256	630	1821
257	633	1821
258	636	1819
259	637	1813
260	640	1812
261	643	1811
262	645	1809
263	647	1806
264	649	1801
265	651	1798
266	653	1793
267	656	1791
268	658	1790
269	661	1789
270	663	1785
271	665	1782
272	667	1777
273	670	1775
274	672	1773
275	674	1770
276	677	1767
277	679	1764
278	681	1762
279	683	1758
280	685	1754
281	687	1750
282	689	1746
283	691	1743
284	693	1740
285	695	1737
286	697	1734
287	700	1730
288	701	1726
289	704	1725
290	706	1720
291	707	1716
292	709	1712
293	711	1707
294	712	1703
295	714	1699
296	716	1695
297	718	1693
298	720	1689
299	723	1687
300	724	1683
301	726	1679
302	728	1675
303	730	1671
304	732	1668
305	734	1666
306	736	1662
307	738	1659
308	741	1657
309	743	1654
310	745	1651
311	748	1649
312	750	1646
313	753	1645
314	755	1643
315	758	1640
316	759	1636
317	762	1634
318	763	1630
319	765	1626
320	767	1623
321	769	1620
322	772	1618
323	774	1615
324	776	1612
325	778	1609
326	781	1607
327	783	1604
328	785	1601
329	787	1598
330	789	1596
331	791	1592
332	794	1591
333	796	1589
334	798	1585
335	801	1583
336	802	1579
337	804	1575
338	806	1572
339	808	1570
340	810	1566
341	812	1563
342	814	1561
343	816	1557
344	818	1554
345	821	1553
346	824	1551
347	825	1547
348	828	1544
349	830	1541
350	831	1538
351	834	1535
352	836	1532
353	838	1529
354	840	1527
355	843	1525
356	845	1523
357	848	1521
358	850	1518
359	853	1517
360	855	1514
361	858	1512
362	859	1509
363	861	1505
364	863	1503
365	865	1499
366	868	1498
367	871	1496
