Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,acqsys,free_text_AOB,miscatch_P3a_novel,miscatch_P3b_target,reviewer,taskData._id.$oid,time,version
0.0,0.0,0.0,0.0,0.0,57ab701348f9bf7928774fdb,Comments: ,yes,no,Limin,57ab7d1742e2559e5afa1674,17.60864,miscatches
1.0,1.0,1.0,1.0,,55fc50e5b078d672f5000000,Comments: ,no,yes,Limin,55fc5c054071c0807469d5fe,804.462277,miscatches
2.0,2.0,2.0,2.0,,5631267fb078d637e7000000,Comments: ,no,yes,Limin,56313506048db6162fb41c8b,135.46871,miscatches
3.0,3.0,3.0,3.0,,55b3ada5b078d6023a000000,signal is very flat,yes,yes,Limin,55b3ba7fd82a51182a5a8e30,207.431291,miscatches
4.0,4.0,4.0,4.0,,557c539d71a87f3670000000,p3a leaks to posterior region,yes,no,Limin,557c5e3604b3802b60a6a978,167.573069,miscatches
5.0,5.0,5.0,5.0,,57460b88cc9fe7320d2ea65b,"p3a leaks to posterior region, p3b leaks to frontal region",no,no,Limin,57461798053bfc7d172711f0,210.336554,miscatches
6.0,6.0,6.0,6.0,,56291824a158c6384b000000,double peak caught in P3b,yes,no,Limin,56292394048db6162fb41555,97.689359,miscatches
7.0,7.0,7.0,7.0,,5601a5bea158c635c3000000,p3a leaks to posterior region,no,no,Limin,5601ae1e4071c0807469dd67,110.981216,miscatches
8.0,8.0,8.0,8.0,,5601a5bea158c635c3000000,p3a leaks to posterior region,no,no,Limin,5601ae1e4071c0807469dd67,111.13958,miscatches
9.0,9.0,9.0,9.0,,55e754baa2d634053c000000,,no,yes,Limin,55e763ec32991e86075a1942,120.530599,miscatches
10.0,10.0,10.0,10.0,,561c578b25614047da000000,p3a leaks to posterior region,no,no,Limin,561c60ab83609b152d5ebffd,677.153093,miscatches
11.0,11.0,11.0,11.0,,573b7ffccc9fe7320d2e8cdb,Comments: ,no,no,Limin,573b8902053bfc7d172704da,102.2419,miscatches
12.0,12.0,12.0,12.0,,5735246fc09c5de50c256d72,p3b leaks to the frontal region,no,no,Limin,573531f2053bfc7d17270321,229.444655,miscatches
13.0,13.0,13.0,13.0,,5647a94325614013f1000000,p3a leaks to posterior region and p3b leaks to frontal region,no,no,Limin,5647afe498d49e7e5f332c46,109.359878,miscatches
14.0,14.0,14.0,14.0,,57715031cc9fe7320d2f0789,double peak caught in p3b; p3a leaks to posterior region,no,yes,Limin,57715795aa4d8a317a3d5c77,330.935178,miscatches
15.0,15.0,15.0,15.0,,560ad7372561403934000000,miscatch in frontal region for p3b,no,yes,Limin,560adfd84071c0807469e486,467.530767,miscatches
16.0,16.0,16.0,16.0,,573ced23cc9fe7320d2e9213,p3a leaks to the posterior region,no,yes,Limin,573cf6fa053bfc7d1727067a,216.307167,miscatches
17.0,17.0,17.0,17.0,,561bf7e8a2d6346e62000000,Comments: ,yes,no,Limin,561bfe3483609b152d5ebf6b,56.621655,miscatches
18.0,18.0,18.0,18.0,,564e1e63a2d6341424000000,data quality is bad,yes,no,Limin,564e280d98d49e7e5f33315f,275.319443,miscatches
19.0,19.0,19.0,19.0,,572a94ebc09c5de50c255c09,p3a leaks to the posterior region,no,no,Limin,572a9f18053bfc7d1726ffdf,225.061701,miscatches
20.0,20.0,20.0,20.0,,561858a425614022c4000000,miscatch in posterior region of p3a,yes,no,Limin,5618626983609b152d5ebcab,311.404779,miscatches
21.0,21.0,21.0,21.0,,563aa9b1256140436d000000,Comments: ,no,no,Limin,563ab19f98d49e7e5f331fbb,29.384442,miscatches
22.0,22.0,22.0,,,566a27ea2561404c56000000,p3b leaks to frontal region,no,yes,Limin,566a2d83d3acecc6549349c2,9001.644459,miscatches
23.0,23.0,23.0,,,572d36c4cc9fe7320d2e70f4,Comments: ,no,yes,Limin,572d3df2053bfc7d172700ba,29.831057,miscatches
24.0,24.0,24.0,,,55f30029a158c666b2000000,p3a leaks to posterior region,no,no,Limin,55f309f232991e86075a21e0,46.282218,miscatches
25.0,25.0,25.0,,,55fc79fba158c61e30000000,p3b in frontal region,no,yes,Limin,55fc81894071c0807469d674,234.74959,miscatches
26.0,26.0,26.0,,,56282bcca2d63440a6000000,Comments: ,yes,yes,Limin,562836ce048db6162fb41500,117.994601,miscatches
27.0,27.0,27.0,,,5717eb59c09c5de50c254681,Comments: ,no,yes,Limin,5717f3c02cbb7066795a7812,54.006825,miscatches
28.0,28.0,28.0,,,572923ebcc9fe7320d2e6a67,p3a leaks to posterior region,no,no,Limin,57292d65a5add43e1bf2ccf6,888.659539,miscatches
29.0,29.0,29.0,,,573743f6cc9fe7320d2e8139,Comments: ,yes,yes,Limin,57374d6e053bfc7d1727038f,198.925,miscatches
30.0,30.0,30.0,,,56215ac32561403d3b000000,Comments: ,yes,yes,Limin,5621631983609b152d5ec53c,629.662095,miscatches
31.0,31.0,31.0,,,56468e41256140792c000000,Comments: ,no,yes,Limin,5646966a98d49e7e5f332b3a,39.813557,miscatches
32.0,32.0,32.0,,,5750ab4fc09c5de50c25ae4e,"signal is flat for P3b, double peak caught ",no,yes,Limin,5756f78de57687cd27c8529b,220.840667,miscatches
33.0,33.0,33.0,,,55e8b462256140398d000000,p3a leaks to posterior region,no,no,Limin,55e8bee332991e86075a1a9e,166.694752,miscatches
34.0,34.0,34.0,,,56006c81a158c6428f000000,double peak caught for p3b and p3b leaks to frontal region,no,yes,Limin,560073f34071c0807469dba6,229.611262,miscatches
35.0,35.0,35.0,,,566a27ea2561404c56000000,p3b leaks to frontal region,no,yes,Limin,566a2d83d3acecc6549349c2,16282.825916,miscatches
36.0,36.0,36.0,,,564bbd10a2d6343418000000,Comments: ,no,yes,Limin,564bc61298d49e7e5f332f7e,191.164857,miscatches
37.0,37.0,37.0,,,5727bebcc09c5de50c255542,Comments: ,no,yes,Limin,5727c8d6a5add43e1bf2cc1d,207.178671,miscatches
38.0,38.0,38.0,,,573de6fac09c5de50c2580a8,Comments: ,no,no,Limin,573df21b053bfc7d172706b7,52.310056,miscatches
39.0,39.0,39.0,,,564bbd10a2d6343418000000,Comments: ,no,yes,Limin,564bc61298d49e7e5f332f7e,10361.10386,miscatches
40.0,40.0,40.0,,,5622b921a2d6340dff000000,Comments: ,no,no,Limin,5622c3e3048db6162fb40f65,154.957014,miscatches
41.0,41.0,41.0,,,5622b7472561402831000000,peak location needed for decision-p3b,no,yes,Limin,5622c18b048db6162fb40f5f,907.106661,miscatches
42.0,42.0,42.0,,,56153beaa158c642ab000000,Comments: ,yes,no,Limin,5615455483609b152d5eba34,334.814211,miscatches
43.0,43.0,43.0,,,565cf5752561405c7a000000,Comments: ,no,no,Limin,565cfe12f7a5496b79ede700,509.498698,miscatches
44.0,44.0,44.0,,,5653b9aea2d6347be5000000,bad data quality,no,yes,Limin,5653c3dff7a5496b79ede190,527.090656,miscatches
45.0,45.0,45.0,,,56490d22a2d6346e48000000,"bad data quality, P3b leaks to frontal region",no,yes,Limin,5649146f98d49e7e5f332d78,1403.828247,miscatches
46.0,46.0,46.0,,,5502f966077e4a0b9a000000,mismatch in p3b,no,no,Limin,550303a340a873c1062bde7c,65.251815,miscatches
47.0,47.0,47.0,,,564cc940a2d6340f8b000000,Comments: ,no,yes,Limin,564cd3de98d49e7e5f333028,1197.028057,miscatches
